College Name,Courses,2022,2023,2024
Indian Institute of Information Bombay,Computer Science Enginnering,68,61,66
Indian Institute of Information Bombay,Electrical Engineering,470,475,464
Indian Institute of Information Bombay,Mechanical Engineering,1700,1720,1685
Indian Institute of Information Bombay,Electronics and Communication Engineering,410,405,400
Indian Institute of Information Bombay,Chemical Engineering,2550,2600,2529
National Institute of Technology Rourkela ,Computer Science Enginnering,7794,3546,3786
National Institute of Technology Rourkela ,Electrical Engineering,14970,11759,12520
National Institute of Technology Rourkela ,Mechanical Engineering,21900,16228,17907
National Institute of Technology Rourkela ,Electronics and Communication Engineering,9566,6127,6770
National Institute of Technology Rourkela ,Chemical Engineering,26213,19767,21037
National Institute of Technology Srinagar ,Computer Science Enginnering,26107,20540,19597
National Institute of Technology Srinagar ,Electrical Engineering,35007,32597,36563
National Institute of Technology Srinagar ,Mechanical Engineering,39420,39505,41252
National Institute of Technology Srinagar ,Electronics and Communication Engineering,29654,28335,30765
National Institute of Technology Srinagar ,Chemical Engineering,44280,42867,44450
Jaypee University of Engineering and Technology Noida,Computer Science Enginnering,35691,48918,59706
Jaypee University of Engineering and Technology Noida,Electrical Engineering,,,
Jaypee University of Engineering and Technology Noida,Mechanical Engineering,,,
Jaypee University of Engineering and Technology Noida,Electronics and Communication Engineering,54061,100994,98006
Jaypee University of Engineering and Technology Noida,Chemical Engineering,,,
Indian Institute of Technology Hyderabad ,Computer Science Enginnering,585,604,649
Indian Institute of Technology Hyderabad ,Electrical Engineering,2230,2076,1981
Indian Institute of Technology Hyderabad ,Mechanical Engineering,4536,4800,4252
Indian Institute of Technology Hyderabad ,Electronics and Communication Engineering,,,
Indian Institute of Technology Hyderabad ,Chemical Engineering,6074,6282,5493
National Institue of Tecnology  Trichy,Computer Science Enginnering,759,1147,1019
National Institue of Tecnology  Trichy,Electrical Engineering,5604,5422,5244
National Institue of Tecnology  Trichy,Mechanical Engineering,8445,9241,8405
National Institue of Tecnology  Trichy,Electronics and Communication Engineering,3288,3609,3080
National Institue of Tecnology  Trichy,Chemical Engineering,12165,13360,12706
Sardar Vallabhbhai National Institute of Technology Surat ,Computer Science Enginnering,1100,1050,1000
Sardar Vallabhbhai National Institute of Technology Surat ,Electrical Engineering,2200,2100,2000
Sardar Vallabhbhai National Institute of Technology Surat ,Mechanical Engineering,4500,4300,4200
Sardar Vallabhbhai National Institute of Technology Surat ,Electronics and Communication Engineering,2000,1900,1800
Sardar Vallabhbhai National Institute of Technology Surat ,Chemical Engineering,3500,3400,3300
National Institute of Technology Durgapur ,Computer Science Enginnering,12000,11000,10000
National Institute of Technology Durgapur ,Electrical Engineering,19000,31000,32000
National Institute of Technology Durgapur ,Mechanical Engineering,38000,39000,40000
National Institute of Technology Durgapur ,Electronics and Communication Engineering,15000,14500,14000
National Institute of Technology Durgapur ,Chemical Engineering,35000,34000,33000
Indian Institute of Technology Banaras Hindu University Varanasi ,Computer Science Enginnering,2187,2275,2100
Indian Institute of Technology Banaras Hindu University Varanasi ,Electrical Engineering,7103,6771,6990
Indian Institute of Technology Banaras Hindu University Varanasi ,Mechanical Engineering,7912,8244,8237
Indian Institute of Technology Banaras Hindu University Varanasi ,Electronics and Communication Engineering,6189,5792,5981
Indian Institute of Technology Banaras Hindu University Varanasi ,Chemical Engineering,13767,13544,1251
National Institue of Tecnology Surathkal,Computer Science Enginnering,1083,1594,1423
National Institue of Tecnology Surathkal,Electrical Engineering,5928,6713,6303
National Institue of Tecnology Surathkal,Mechanical Engineering,10840,11214,10488
National Institue of Tecnology Surathkal,Electronics and Communication Engineering,3971,4556,3871
National Institue of Tecnology Surathkal,Chemical Engineering,13457,14070,14669
Malaviya National Institute of Technology Jaipur ,Computer Science Enginnering,4998,6526,4998
Malaviya National Institute of Technology Jaipur ,Electrical Engineering,19988,19608,20183
Malaviya National Institute of Technology Jaipur ,Mechanical Engineering,31523,28845,31570
Malaviya National Institute of Technology Jaipur ,Electronics and Communication Engineering,13637,13942,13637
Malaviya National Institute of Technology Jaipur ,Chemical Engineering,31066,28381,31066
Maulana Azad National Institute of Technology Bhopal ,Computer Science Enginnering,9485,10889,10403
Maulana Azad National Institute of Technology Bhopal ,Electrical Engineering,17667,20288,20182
Maulana Azad National Institute of Technology Bhopal ,Mechanical Engineering,24473,29967,29571
Maulana Azad National Institute of Technology Bhopal ,Electronics and Communication Engineering,13700,15000,14500
Maulana Azad National Institute of Technology Bhopal ,Chemical Engineering,30500,33000,32000
Indian Institute of Technology Indian School of Mines Dhanbad ,Computer Science Enginnering,3009,3258,3846
Indian Institute of Technology Indian School of Mines Dhanbad ,Electrical Engineering,7619,7784,6751
Indian Institute of Technology Indian School of Mines Dhanbad ,Mechanical Engineering,9875,10262,9875
Indian Institute of Technology Indian School of Mines Dhanbad ,Electronics and Communication Engineering,5492,5821,5982
Indian Institute of Technology Indian School of Mines Dhanbad ,Chemical Engineering,11398,12473,11398
Warangal Institute of Technology and Science,Computer Science Enginnering,1764,2075,1899
Warangal Institute of Technology and Science,Electrical Engineering,7536,8050,7134
Warangal Institute of Technology and Science,Mechanical Engineering,12370,5148,12050
Warangal Institute of Technology and Science,Electronics and Communication Engineering,4984,13220,4444
Warangal Institute of Technology and Science,Chemical Engineering,15872,16271,17000
Indian Institute of Technology Gandhinagar ,Computer Science Enginnering,1352,1544,1544
Indian Institute of Technology Gandhinagar ,Electrical Engineering,3890,3846,3846
Indian Institute of Technology Gandhinagar ,Mechanical Engineering,6885,6869,6869
Indian Institute of Technology Gandhinagar ,Electronics and Communication Engineering,4869,4626,4626
Indian Institute of Technology Gandhinagar ,Chemical Engineering,8906,9151,9151
Indian Institute of Technology Ropar ,Computer Science Enginnering,1803,1763,2234
Indian Institute of Technology Ropar ,Electrical Engineering,5255,5045,5385
Indian Institute of Technology Ropar ,Mechanical Engineering,7839,8344,7844
Indian Institute of Technology Ropar ,Electronics and Communication Engineering,,,
Indian Institute of Technology Ropar ,Chemical Engineering,9385,10032,9603
Motilal Nehru National Institute of Technology  Allahabad,Computer Science Enginnering,3598,4295,3975
Motilal Nehru National Institute of Technology  Allahabad,Electrical Engineering,11378,10850,10333
Motilal Nehru National Institute of Technology  Allahabad,Mechanical Engineering,17605,16883,17483
